s_bo,s_sc,s_so,s_bc,DeltaPnL,l2norm,sensitivity
-2.8,0.2769230769230771,2.8,0.2769230769230771,0.2338502414278455,0.5999999999999998,0.3897504023797427
-2.8,0.3435897435897438,2.8,0.3435897435897438,0.21497487854832487,0.5374838498865697,0.39996528006133214
-2.8,0.41025641025641046,2.8,0.41025641025641046,0.09645930847693325,0.4853406592853676,0.19874557515738178
-2.8,0.4769230769230771,2.8,0.4769230769230771,0.016863815166449234,0.4472135954999577,0.03770863707217244
-2.8,0.5435897435897439,2.8,0.5435897435897439,0.01899263162360257,0.42687494916218965,0.04449226093233778
-2.8,0.6102564102564105,2.8,0.6102564102564105,0.01899263162360257,0.4268749491621897,0.044492260932337775
-2.8,0.6769230769230772,2.8,0.6769230769230772,0.06781449722527014,0.44721359549995776,0.15163782565567496
-2.8,0.7435897435897438,2.8,0.7435897435897438,0.09521945025500717,0.48534065928536774,0.19619096078867893
-2.8,0.8102564102564105,2.8,0.8102564102564105,0.11794321995375084,0.5374838498865698,0.21943583975340186
-2.8,0.8769230769230771,2.8,0.8769230769230771,0.11794321995375084,0.5999999999999999,0.19657203325625144
-2.7333333333333334,0.2769230769230771,2.7333333333333334,0.2769230769230771,0.23972445442072657,0.53748384988657,0.44601238617926425
-2.7333333333333334,0.3435897435897438,2.7333333333333334,0.3435897435897438,0.22097415376749285,0.4666666666666667,0.4735160437874847
-2.7333333333333334,0.41025641025641046,2.7333333333333334,0.41025641025641046,0.10324383064141347,0.40551750201988135,0.25459771804461284
-2.7333333333333334,0.4769230769230771,2.7333333333333334,0.4769230769230771,0.024175712071185254,0.35901098714230034,0.0673397554309467
-2.7333333333333334,0.5435897435897439,2.7333333333333334,0.5435897435897439,0.02629042365908771,0.33333333333333337,0.07887127097726311
-2.7333333333333334,0.6102564102564105,2.7333333333333334,0.6102564102564105,0.02629042365908771,0.3333333333333334,0.0788712709772631
-2.7333333333333334,0.6769230769230772,2.7333333333333334,0.6769230769230772,0.07478881091267812,0.3590109871423004,0.2083190030143402
-2.7333333333333334,0.7435897435897438,2.7333333333333334,0.7435897435897438,0.10201218733066617,0.40551750201988146,0.2515605043494887
-2.7333333333333334,0.8102564102564105,2.7333333333333334,0.8102564102564105,0.12458539646820099,0.4666666666666668,0.2669687067175735
-2.7333333333333334,0.8769230769230771,2.7333333333333334,0.8769230769230771,0.12458539646820099,0.53748384988657,0.23179374876936926
-2.6666666666666665,0.2769230769230771,2.6666666666666665,0.2769230769230771,0.18145034549717637,0.4853406592853678,0.37386182679264923
-2.6666666666666665,0.3435897435897438,2.6666666666666665,0.3435897435897438,0.17258070157140645,0.4055175020198811,0.42558138850180977
-2.6666666666666665,0.41025641025641046,2.6666666666666665,0.41025641025641046,0.07700270861908776,0.33333333333333315,0.2310081258572634
-2.6666666666666665,0.4769230769230771,2.6666666666666665,0.4769230769230771,0.018057623962793146,0.27487370837451053,0.06569425671730654
-2.6666666666666665,0.5435897435897439,2.6666666666666665,0.5435897435897439,0.015640460517430815,0.24037008503093238,0.06506824888553873
-2.6666666666666665,0.6102564102564105,2.6666666666666665,0.6102564102564105,0.015640460517430815,0.24037008503093243,0.06506824888553872
-2.6666666666666665,0.6769230769230772,2.6666666666666665,0.6769230769230772,0.03471653452888786,0.2748737083745106,0.12629994601588884
-2.6666666666666665,0.7435897435897438,2.6666666666666665,0.7435897435897438,0.06462786934595878,0.33333333333333326,0.19388360803787638
-2.6666666666666665,0.8102564102564105,2.6666666666666665,0.8102564102564105,0.1165579073157276,0.40551750201988124,0.28743002887705976
-2.6666666666666665,0.8769230769230771,2.6666666666666665,0.8769230769230771,0.1165579073157276,0.48534065928536785,0.24015689822351055
-2.6,0.2769230769230771,2.6,0.2769230769230771,0.129194964651199,0.447213595499958,0.2888887233107634
-2.6,0.3435897435897438,2.6,0.3435897435897438,0.1172691606058257,0.3590109871423003,0.3266450465465672
-2.6,0.41025641025641046,2.6,0.41025641025641046,0.008485172339619929,0.27487370837451075,0.03086934865396084
-2.6,0.4769230769230771,2.6,0.4769230769230771,0.028698175594320502,0.20000000000000007,0.14349087797160245
-2.6,0.5435897435897439,2.6,0.5435897435897439,0.026549631623094316,0.14907119849998604,0.17810034326045082
-2.6,0.6102564102564105,2.6,0.6102564102564105,0.026549631623094316,0.14907119849998615,0.17810034326045068
-2.6,0.6769230769230772,2.6,0.6769230769230772,0.028394107482307113,0.20000000000000018,0.14197053741153542
-2.6,0.7435897435897438,2.6,0.7435897435897438,0.05816562289948651,0.27487370837451086,0.21160853558331894
-2.6,0.8102564102564105,2.6,0.8102564102564105,0.11092958889454857,0.3590109871423004,0.3089866128542179
-2.6,0.8769230769230771,2.6,0.8769230769230771,0.11092958889454857,0.44721359549995804,0.2480461014843163
-2.533333333333333,0.2769230769230771,2.533333333333333,0.2769230769230771,0.12330571562257736,0.4268749491621899,0.2888567620671686
-2.533333333333333,0.3435897435897438,2.533333333333333,0.3435897435897438,0.11130905665570989,0.33333333333333326,0.33392716996712973
-2.533333333333333,0.41025641025641046,2.533333333333333,0.41025641025641046,0.0018787487854771828,0.24037008503093255,0.007816067399715784
-2.533333333333333,0.4769230769230771,2.533333333333333,0.4769230769230771,0.028355530461111278,0.1490711984999859,0.19021468094733243
-2.533333333333333,0.5435897435897439,2.533333333333333,0.5435897435897439,0.016345917985261443,0.06666666666666643,0.2451887697789225
-2.533333333333333,0.6102564102564105,2.533333333333333,0.6102564102564105,0.016345917985261443,0.06666666666666665,0.2451887697789217
-2.533333333333333,0.6769230769230772,2.533333333333333,0.6769230769230772,0.03810903375654706,0.14907119849998604,0.2556431701094201
-2.533333333333333,0.7435897435897438,2.533333333333333,0.7435897435897438,0.06761569751332244,0.2403700850309327,0.2812983050890926
-2.533333333333333,0.8102564102564105,2.533333333333333,0.8102564102564105,0.11991026771823089,0.33333333333333337,0.35973080315469264
-2.533333333333333,0.8769230769230771,2.533333333333333,0.8769230769230771,0.12159843503572192,0.42687494916218993,0.2848572755894395
-2.466666666666667,0.2769230769230771,2.466666666666667,0.2769230769230771,0.13019952355975456,0.4268749491621899,0.305006240856466
-2.466666666666667,0.3435897435897438,2.466666666666667,0.3435897435897438,0.13107396831310253,0.33333333333333326,0.3932219049393077
-2.466666666666667,0.41025641025641046,2.466666666666667,0.41025641025641046,0.019723767020941155,0.24037008503093255,0.08205583077612573
-2.466666666666667,0.4769230769230771,2.466666666666667,0.4769230769230771,0.010028164860978739,0.1490711984999859,0.0672709749561696
-2.466666666666667,0.5435897435897439,2.466666666666667,0.5435897435897439,0.004264619691930607,0.06666666666666643,0.06396929537895933
-2.466666666666667,0.6102564102564105,2.466666666666667,0.6102564102564105,0.00029819816651888154,0.06666666666666665,0.004472972497783224
